customerID,firstName,lastName,age,email,identityCode,additionalInfo,created,inserted_date,updated_date
1,Findlay,MacAree,36,fmacaree0@edublogs.org,594698,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,1,4/27/2019,7/17/2018
2,Raimundo,Pomroy,28,rpomroy1@tuttocitta.it,580125,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,1,4/6/2019,9/19/2018
3,Dacie,Tourville,39,dtourville2@over-blog.com,412827,libero nam dui proin leo odio porttitor id consequat in,0,7/8/2018,1/29/2019
4,Alfonse,Jobb,32,ajobb3@zdnet.com,217360,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,1,11/28/2018,3/22/2019
5,Luciana,Slaten,31,lslaten4@ucsd.edu,635682,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,1,12/12/2018,4/15/2019
6,Sibylla,Arter,38,sarter5@princeton.edu,860379,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,1,12/27/2018,2/10/2019
7,Hebert,Jonas,30,hjonas6@bandcamp.com,192970,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,0,4/29/2019,8/20/2018
8,Halsy,Broose,21,hbroose7@google.com.au,455599,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,0,1/31/2019,1/10/2019
9,Matty,Matijevic,32,mmatijevic8@shop-pro.jp,190088,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,1,6/17/2018,4/25/2019
10,Angie,Dampney,25,adampney9@theguardian.com,447883,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,0,9/5/2018,1/2/2019
11,Sorcha,Bavidge,18,sbavidgea@phoca.cz,294717,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,0,7/14/2018,7/8/2018
12,Irena,McMurrugh,25,imcmurrughb@vistaprint.com,924960,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,1,3/7/2019,3/30/2019
13,Tadeas,Neicho,19,tneichoc@purevolume.com,360218,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,1,2/9/2019,6/23/2018
