employerID,companyName,companyType,city,phoneNum,email,workersAmount,created,additionalInfo,inserted_date
1,Orland,lectus,Uppsala,3809305,ohebner0@phpbb.com,3770,1,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,7/22/2018
2,Murdock,ultrices,Montaneza,3809329,mstockin1@admin.ch,6799,1,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,3/30/2019
3,Kellby,hac,Mosfilo,3809382,kperfili2@sourceforge.net,9779,0,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,5/16/2019
4,William,non,Maodao,3809320,wmardy3@clickbank.net,2939,1,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,9/14/2018
5,Gaby,congue,Punsu,3809374,grockhill4@dailymail.co.uk,7325,0,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,2/12/2019
6,Anissa,ut,Jinrongjie,3809380,ahassent5@youtube.com,1267,1,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,12/24/2018
7,Devondra,ultrices,Jinxiang,3809371,dcominoli6@tamu.edu,6312,0,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,10/12/2018
8,Annora,arcu,Grazhdanskoye,3809346,ahoulison7@mysql.com,7940,0,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,6/25/2018
9,Ileane,et,Manta,3809314,ijelley8@gnu.org,5578,1,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,6/4/2018
10,Frasco,nam,Valbo,3809323,frablin9@wsj.com,5543,0,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,9/7/2018
11,Gisela,est,Turan,3809375,gcrowtha@last.fm,7410,1,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,4/29/2019
12,Drake,convallis,Sikur,3809380,dgoodrichb@storify.com,2980,0,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,10/18/2018
